Include Group,Group Name,Combine,Platform-Type-OS-Version,Name,Location,Environment,Test Data
No,Login,,IOS-Simulator-IOS-9.1,iPad 2,Local,Stage,"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING"
No,Login,,Android-Device-Android-4.4,Samsung Galaxy S6,Local,Stage,"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING"
YES,Login,,Android-Device-Android-4.4,Samsung Galaxy S6,Local,Stage,"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING"
YES,LoginAndLogout,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
YES,CreateGeofencescheduleWithSleepsettings,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_BB,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,IOS-Simulator-IOS-10.2,iPhone 6,Local,Production,"AcquisitionType=Automatic,Tags='PROD_BB,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_HBB,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,IOS-Simulator-IOS-10.2,iPhone 6,Local,Production,"AcquisitionType=Automatic,Tags='PROD_HBB,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,IOS-Simulator-IOS-10.2,iPhone 6,Local,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,IOS-Simulator-IOS-10.2,iPhone 6,Local,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
YES,CreateGeofencescheduleWithoutsleepsettings,,IOS-Simulator-IOS-10.2,iPhone 6,Local,Production,"AcquisitionType=Automatic,Tags='PROD_BB,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_BB,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,IOS-Simulator-IOS-10.2,iPhone 6,Local,Production,"AcquisitionType=Automatic,Tags='PROD_HBB,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_HBB,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,IOS-Simulator-IOS-10.2,iPhone 6,Local,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,IOS-Simulator-IOS-10.2,iPhone 6,Local,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
,,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
YES,CreateEverydayschedule,,Android-Emulator-Android-6.0,Android GoogleAPI,SauceLabs,Production,"AcquisitionType=Automatic,Tags='PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE'"